Diet,Source,Donor,CollectionMet1,Sex,Firmicutes,Bacteroidetes,diet source donor
CARBR,Cecum,CONVR,Contents,Male,0.691423703,0.114942596,CARBRCecumCONVR
FATR,Cecum,CONVR,Contents,Male,0.601951423,0.094634218,FATRCecumCONVR
Human,Feces,Human,Contents,Male,0.706325475,0.232680787,HumanFecesHuman
Human,Feces,Human,Contents,Male,0.697711928,0.250903312,HumanFecesHuman
Human,Feces,Human,Contents,Male,0.496026657,0.459735157,HumanFecesHuman
Human,Feces,Human,Contents,Male,0.45089582,0.507720889,HumanFecesHuman
Human,Feces,Human,Contents,Male,0.53013046,0.422231327,HumanFecesHuman
Human,Feces,Human,Contents,Male,0.543087618,0.406075707,HumanFecesHuman
LFPP,Cecum1,CONVR,Scraping,Male,0.691370696,0.210152337,LFPPCecum1CONVR
LFPP,Cecum1,CONVR,Contents,Male,0.413529724,0.214599727,LFPPCecum1CONVR
LFPP,Cecum1,CONVR,Contents,Male,0.716390241,0.183402562,LFPPCecum1CONVR
LFPP,Cecum1,HMMouseLFPP,Contents,Male,0.490057927,0.461193148,LFPPCecum1HMMouseLFPP
LFPP,Cecum1,HMMouseLFPP,Contents,Male,0.45168616,0.492954273,LFPPCecum1HMMouseLFPP
LFPP,Cecum1,HMMouseLFPP,Scraping,Male,0.515948697,0.441522165,LFPPCecum1HMMouseLFPP
LFPP,Cecum1,HMMouseLFPP,Contents,Male,0.379604548,0.588676734,LFPPCecum1HMMouseLFPP
LFPP,Cecum2,CONVR,Scraping,Male,0.717717927,0.183183248,LFPPCecum2CONVR
LFPP,Cecum2,CONVR,Contents,Male,0.468750176,0.183866344,LFPPCecum2CONVR
LFPP,Cecum2,HMMouseLFPP,Scraping,Male,0.359586511,0.595067696,LFPPCecum2HMMouseLFPP
LFPP,Cecum2,HMMouseLFPP,Contents,Male,0.458948532,0.51107018,LFPPCecum2HMMouseLFPP
LFPP,Cecum,CONVD,Contents,Male,0.587381242,0.327491301,LFPPCecumCONVD
LFPP,Cecum,CONVR,Contents,Male,0.505421351,0.394495476,LFPPCecumCONVR
LFPP,Cecum,CONVR,Contents,Male,0.566077938,0.357597246,LFPPCecumCONVR
LFPP,Cecum,CONVR,Contents,Male,0.609531355,0.339738741,LFPPCecumCONVR
LFPP,Cecum,CONVR,Contents,Male,0.754245041,0.192135902,LFPPCecumCONVR
LFPP,Cecum,CONVR,Contents,Male,0.671283651,0.263157959,LFPPCecumCONVR
LFPP,Cecum,Fresh,Contents,Male,0.514165099,0.466384848,LFPPCecumFresh
LFPP,Cecum,Fresh,Contents,Male,0.426026536,0.547637566,LFPPCecumFresh
LFPP,Cecum,Fresh,Contents,Male,0.328114302,0.640222745,LFPPCecumFresh
LFPP,Cecum,Fresh,Contents,Male,0.444593596,0.527703392,LFPPCecumFresh
